id,cam_path,screen_path,cam_fps,screen_fps,duration_cam,duration_screen
1,dataset\cam1.mp4,dataset\screen1.mp4,60.0,60.0,211.08,211.32
2,dataset\cam2.mp4,dataset\screen2.mp4,60.0,60.0,216.58,218.45
3,dataset\cam3.mp4,dataset\screen3.mp4,60.0,60.0,271.48,271.25
4,dataset\cam4.mp4,dataset\screen4.mp4,60.0,60.0,194.7,209.95
5,dataset\cam5.mp4,dataset\screen5.mp4,60.0,60.0,147.05,148.15
6,dataset\cam6.mkv,dataset\screen6.mkv,60.0,60.0,124.67,147.25
7,dataset\cam7.mkv,dataset\screen7.mkv,60.0,60.0,119.75,141.22
8,dataset\cam8.mkv,dataset\screen8.mkv,30.0,30.0,166.93,167.57
9,dataset\cam9.mkv,dataset\screen9.mkv,30.0,30.0,164.7,4.1
10,dataset\cam10.mkv,dataset\screen10.mkv,30.0,30.0,224.13,224.4
11,dataset\cam11.mkv,dataset\screen11.mkv,30.0,30.0,276.03,276.73
12,dataset\cam12.mkv,dataset\screen12.mkv,30.0,30.0,230.33,230.63
13,dataset\cam13.mkv,dataset\screen13.mkv,30.0,30.0,189.17,189.17
14,dataset\cam14.mkv,dataset\screen14.mkv,30.0,30.0,189.37,189.33
15,dataset\cam15.mkv,dataset\screen15.mkv,30.0,30.0,216.17,216.07
16,dataset\cam16.mkv,dataset\screen16.mkv,30.0,30.0,184.1,186.13
17,dataset\cam17.mkv,dataset\screen17.mkv,30.0,30.0,181.9,181.8
18,dataset\cam18.mkv,dataset\screen18.mkv,30.0,30.0,153.4,154.0
19,dataset\cam19.mkv,dataset\screen19.mkv,30.0,30.0,147.17,148.17
20,dataset\cam20.mkv,dataset\screen20.mkv,30.0,30.0,174.67,177.07
21,dataset\cam21.mkv,dataset\screen21.mkv,30.0,30.0,207.27,207.9
22,dataset\cam22.mkv,dataset\screen22.mkv,30.0,30.0,191.4,191.63
23,dataset\cam23.mkv,dataset\screen23.mkv,30.0,30.0,206.17,206.2
24,dataset\cam24.mkv,dataset\screen24.mkv,30.0,30.0,272.03,272.23
25,dataset\cam25.mkv,dataset\screen25.mkv,30.0,30.0,201.07,201.4
